id,app_id,content,author_id,is_positive
121802220,10,Living Legend!,76561199087455564,Positive
179107274,320,"Goodbye, I will miss you!",76561198076222563,Positive
61178970,20,"pretty shit tbh for the sole reason that no one is playing it, i bet it'd be sick if they did",76561198827100890,Positive
177234369,620,It's genuinely so impressive how well this game holds up. It's a timeless classic.,76561199078097482,Positive
166664029,440,"#SAVETF2 #FIXTF2

FIX TF2 VALVE",76561199514452100,Negative
44772856,240,It's Counterstrike therefore it sucks.,76561197971339609,Negative
166974776,440,"Casual is literally unplayable at all times of the days, cheating runs rampant and bots will post and offer links for Cheese Pizza (you know what I mean). Valve doesn't want to fix it, have hope.  #FixTF2",76561198114543989,Negative
59210283,30,I think game is dead but there is a lot of maps with good bots.,76561198288544048,Positive
29322611,300,"the games historicly accurate as donald duck smoking crack in the 80s, but the game is over all really not bad. The guns are wrong for recoil and most servers are set to run 3ft and your huffing and puffing ..  but the game can be very fun, all depends i guess, and like every game people hack and they never get kicked unless there killing 50 people per second.so it should be called day of the cheat. But over all its a good game and worth the money if you can find good servers. the more i play this game the more i hate it. you can get some really fun games, but the game was made in 2005, but plays like a game from 1995, no ballistics at all. the guns are about a joke and model nothing of an actual firearm. Counter strike source has so much more to realism than this game, though its on the same engine. I honestly wish this game would get a deserved update and bring it back to the main stream. Would be nice to get two game modes, Classic and updated or something of that sort, so die hard players wont lose out on there no phyics game.but people that play newer games might also get into this. Over all it is a good game but it teaches some bad habbits for games with much more realism.",76561197977130751,Positive
166918279,440,#FixTF2,76561198131546533,Negative
8384778,550,The low violence version is a joke without atmosphere!,76561197991862330,Negative
92138550,130,"The caveat of the thumbs up of this review is that you'll most likely only enjoy Blue Shift if you're already in love with Half Life and are hungry for more, and are also willing to spend a decent chunk of time getting it running on windows 10. I recommend using the default aspect ratio, it doesn't play well with modern widescreen resolutions. But if that doesn't sound daunting, this is a neat little bite sized bit of Half Life lore and exploration. I sincerely doubt it will take anyone more than 5 hours to finish, which is good because Gearbox definitely doesn't have Valve's same flair for level design or atmosphere. The pieces are all there but they're not as neatly fitted together. And it's hard to say it's not worth it at 5 bucks full price, but it goes on sale every major steam event so maybe wait for the discount.",76561198059308873,Positive
43620629,280,"Meh, decent, but aged like shishkebab.
It's full of bugs and glitches and the game is unintuitive to ""where to proceed"". The graphics are terrible and the poligons are very few, I added a filter to ""decenticize"" it a little.

In my opinion you're better of just buying Black Mesa instead of this...",76561198133546537,Negative
171304624,620,if you are able to buy and play this game trust me its worth it,76561199033491416,Positive
156248171,130,this game is awsome it does contain some cyptic puzzels but but over all great game 8/10,76561199602564653,Positive
179838165,730,.,76561199171847002,Positive
177800158,730,"subtick servers ruined this video game
",76561197963852739,Negative
162646682,40,best game evr,76561199055203091,Positive
177152632,570,игра дерьма ебаного,76561198880205253,Negative
69595661,280,"Not as good as the OG HL1, but the massive amount of funny glitches makes it a worthwile experience.",76561197990947284,Positive
70131730,300,this is the best remaster game that valve made some one give it a try its fun,76561198857286303,Positive
163077453,570,toxic trash,76561198150800569,Negative
65446342,280,"I replayed this the weekend before Half-Life: Alyx releases in order to go through a refresh on what happens in the original events of the game. Last time I played this was over a decade ago when the 'Source' version first released. I don't remember having such a hard time with this game, let alone the handful of bugs you will assuredly encounter. 

I'm glad I replayed this, but I must say... I wish I had played the 'Black Mesa' remake instead. I did not realize that finally released a couple of weeks ago and sure as hell looks like a better game. That said, if you're playing this for the first time, throw it on easy and fly through it, you're in for a classic!",76561197984298258,Positive
135634934,570,"no bro. dont
",76561198822916468,Negative
81918550,20,"This game. looks fine Of course I'm used to tf2 i am slowly getting used to this one too. But I don't like the fact that.
Cloak takes like 5 or 8 seconds to fully cloak or the poison affecting you till another medic heals you, Kinda annoying tbh but other than That, It Looks Cool.",76561199070216237,Positive
4280237,630,"recomendo 
",76561198034977671,Positive
169441573,730,Fucking sucks.,76561198011485310,Negative
32786334,550,­,76561198372525406,Negative
179311292,550,es buenisimo solo no sale coach sin ropa,76561198131482358,Positive
30964385,1250,"Don't buy.  I don't know about you, but the start up screen is always way to small and half of the screen is off the screen.  I would love to set the correct settings if the options button wasnt to the far left.  Unplayable.",76561198088087173,Negative
130099702,570,Худшая игра. Не играйте.,76561198023638264,Negative
50237061,1900,Don't buy this shit game.,76561198037587037,Negative
165425064,730,sudu kruva bet px byrka,76561199438352359,Negative
172066306,730,"I've never met so many cheaters and smurfs as after the launch of CS2 and I've had enough!!
Valve doesn't give a S*** about us who wants to have fun and play at equal terms!
So it's bout time we stop giving a FLYING F*** about Valve!

CHEATER STRIKE 2",76561198999929395,Negative
29931270,300,"Summary of this game:
Deutschland uber alles!!
Shut the f.ck up before I come down and smack yo ass
den Mund halten
Come on me then",76561198126372574,Positive
179486843,730,top 5 sigma games,76561199563863648,Positive
79112844,360,i only have 41 hours in this because this game was open while i had my pc in sleep mode for 2 days,76561198987464129,Positive
22736489,220,"Half Life 2 is a overrated game and  bad sequel. Half Life 1 aged well in  the gameplay department (the graphics hasn't but whatever). 
Got too bored to complete Half Life 2 went and played something else.",76561198114072120,Negative
70085120,300,its a fun game,76561198837764988,Positive
74888545,300,fresh new game with high quality graphics and buttery smooth frame rate. Gameplay is clever whilst still intuitive and the community is active and polite. All round top-tier high-performance game.,76561198886986056,Positive
162011498,570,This game will drain your soul;,76561197984186409,Negative
172601319,620,I like da game,76561199128193943,Positive
